languagekey,en_value (current),hi_translated,hi_transliterated,hi_value(curated),ta_translated,ta_transliterated,ta_value (curated)
en.common.karmayogiBharat,Karmayogi Bharat,,,,,,
en.common.hubs,Hubs,,,,,,
en.common.learn,Learn,,,,,,
en.common.discuss,Discuss,,,,,,
en.common.network,Network,,,,,,
en.common.career,Career,,,,,,
en.common.competencies,Competencies,,,,,,
en.common.events,Events,,,,,,
en.common.seeAll,See all,,,,,,
en.common.mdoPortal,MDO Portal,,,,,,
en.common.cbpPortal,CBP Portal,,,,,,
en.common.cbcPortal,CBC Portal,,,,,,
en.common.spvPortal,SPV Portal,,,,,,
en.common.fracDictionary,Frac Dictionary,,,,,,
en.common.more,more,,,,,,
en.common.knowledgeResources,knowledge Resources,,,,,,
en.common.dashboard,Dashboard,,,,,,
en.common.settings,Settings,,,,,,
en.common.lastAdded,Last added,,,,,,
en.common.sortByName,Sort By Name,,,,,,
en.common.connections,connections,,,,,,
en.common.connection,connection,,,,,,
en.common.All,All,,,,,,
en.common.search,Search,,,,,,
en.common.missionKarmyogi,Mission Karmayogi,,,,,,
en.common.accountAndAccess,Account and access,,,,,,
en.common.igotMarketplace,iGOT Marketplace,,,,,,
en.common.contentProvider,Content provider,,,,,,
en.common.fracing,FRACing,,,,,,
en.common.register,Register,,,,,,
en.common.or,or,,,,,,
en.common.signIn,Sign In,,,,,,
en.common.update,Update,,,,,,
en.common.showAll,Show all,,,,,,
en.msg.noEvent,No Event,,,,,,
en.msg.successfullyEnrolled,Successfully enrolled,,,,,,
en.msg.failed,Failed,,,,,,
en.msg.yourActionIsSuccessful,Your action is successful,,,,,,
en.msg.noSearchResultFound,No search results found!,,,,,,
en.msg.noUserFound,No users found!,,,,,,
en.msg.showAll,Show All,,,,,,
en.msg.peopleYouMayKnow,People you may know,,,,,,
en.msg.seeMore,See More,,,,,,
en.msg.noConnectionFound,No connection found,,,,,,
en.msg.searchResult,Search Results !,,,,,,
en.msg.moRecommUser,No recommended users!,,,,,,
en.msg.noOpeningFound,No Opening found,,,,,,
en.msg.noCompetenciesFound,No competencies found,,,,,,
en.msg.findCompetenciesToAddFrom,Find competencies to add from,,,,,,
en.msg.allCompetencies,All competencies,,,,,,
en.msg.notEnoughData,Not enough data,,,,,,
en.msg.notFound,Not Found,,,,,,
en.msg.cbcPortal,CBC Portal,,,,,,
en.msg.spvPortal,SPV Portal,,,,,,
en.msg.fracDictionary,फ्रैक डिक्शनरी,,,,,,
en.msg.more,more,,,,,,
en.msg.knowledgeResources,knowledge Resources,,,,,,
en.msg.dashboard,Dashboard,,,,,,
en.msg.settings,Settings,,,,,,
en.msg.noDataFound,No data found!,,,,,,
en.appnavbar.searchforLearningContents,Search for learning contents,,,,,,
en.toprightnavbar.downloadApp,Download App,,,,,,
en.toprightnavbar.font,Font,,,,,,
en.toprightnavbar.needHelp,Need Help,,,,,,
en.toprightnavbar.profile,Profile,,,,,,
en.btnpageback.home,Home,,,,,,
en.btnpageback.hubs,Hubs,,,,,,
en.btnpageback.noHubs,No hubs Info Available,,,,,,
en.btnpageback.doMore,Do more,,,,,,
en.btnpageback.knowledgeResources,Knowledge resources,,,,,,
en.btnpageback.knowledgeResourcesSubtitle,"Find the latest policies, circulars and all available knowledge resources.",,,,,,
en.btnpageback.dashboard,Dashboard,,,,,,
en.btnpageback.dashboardSubtitle,All your data represented as simple visualizations.,,,,,,
en.btnpageback.settings,Settings,,,,,,
en.btnpageback.settingSubtitle,Manage all your preferences hessssre,,,,,,
en.btnpageback.interests,Interests,,,,,,
en.btnpageback.interestsSubtitle,Manage topics of your interest and personalize your experience,,,,,,
en.btnpageback.quickLinks,Quick links,,,,,,
en.cardshublist.more,More,,,,,,
en.cardshublist.nohubsinfoavailable,No hubs Info Available,,,,,,
en.cardshublist.domore,Do more,,,,,,
en.cardshublist.knowledgeresources,Knowledge resources,,,,,,
en.cardshublist.knowledgeresourcesSubtitle,"Find the latest policies, circulars and all available knowledge resources.",,,,,,
en.cardshublist.dashboard,Dashboard,,,,,,
en.cardshublist.dashboardSubtitle,All your data represented as simple visualizations.,,,,,,
en.cardshublist.settings,Settings,,,,,,
en.cardshublist.settingSubtitle,Manage all your preferences hessssre,,,,,,
en.cardshublist.quicklinks,Quick links,,,,,,
en.cardshublist.CBCPortaldesc,Capacity Building Commission,,,,,,
en.cardshublist.CBPPortaldesc,Create and manage CBPs here,,,,,,
en.cardshublist.MDOPortaldesc,"Manage MDO user access, work orders and events",,,,,,
en.cardshublist.FracDictionarydesc,"The dictionary of framework of roles, activities and competencies.",,,,,,
en.cardshublist.SPVPortaldesc,Create and manage MDOs,,,,,,
en.footer.hubs,Hubs,,,,,,
en.footer.relatedLinks,Related Links,,,,,,
en.footer.support,Support,,,,,,
en.footer.aboutUs,About us,,,,,,
en.footer.frequentlyAskedQuestions,Frequently asked questions,,,,,,
en.footer.contactUs,Contact Us,,,,,,
en.footer.copyright,Copyright,,,,,,
en.platformrating.howLikelyRecommend,How likely are you to recommend iGOT Karmayogi to your colleagues?,,,,,,
en.platformrating.notLikely,Not likely,,,,,,
en.platformrating.extremelyLikely,Extremely likely,,,,,,
en.platformrating.submit,Submit,,,,,,
en.platformrating.thanksForFeedback,Thanks for the feedback. We are committed to consistently enhancing your learning experience.,,,,,,
en.footercardnotify.forPersonalizedLearning,For a personalized learning experience,,,,,,
en.footercardnotify.selectYourInterests,Select your interests,,,,,,
en.learn.btnExplorebyCompetency,Explore by competency,,,,,,
en.learn.btnExplorebyProvider,Explore by provider,,,,,,
en.learn.btnCuratedCollections,Curated collections,,,,,,
en.learn.btnModeratedCourses,Moderated courses,,,,,,
en.contentstripmultiple.continueLearning,Continue Learning,,,,,,
en.contentstripmultiple.blendedPrograms,Blended Programs,,,,,,
en.contentstripmultiple.curatedPrograms,Curated Programs,,,,,,
